M.Salah	Liverpool badge	
18.4
90%	Everton (H)	£14.5m	53.9%
B.Fernandes	Man Utd badge	
15.4
90%	Chelsea (H)	£9.0m	20.2%
Haaland	Man City badge	
15.2
90%	Arsenal (a)	£14.1m	34.6%
Mbeumo	Man Utd badge	
15.2
90%	Chelsea (H)	£8.1m	16.1%
Palmer	Chelsea badge	
15.1
80%	Man Utd (a)	£10.4m	19.0%
Semenyo	Bournemouth badge	
14.9
90%	Newcastle (H)	£7.5m	38.1%
Rogers	Aston Villa badge	
14.5
90%	Sunderland (a)	£7.0m	8.0%
Watkins	Aston Villa badge	
14.3
90%	Sunderland (a)	£8.8m	15.4%
Gakpo	Liverpool badge	
14.1
90%	Everton (H)	£7.7m	18.8%
Gyokeres	Arsenal badge	
13.9
90%	Man City (H)	£9.0m	25.5%
Virgil	Liverpool badge	
12.8
90%	Everton (H)	£6.1m	28.1%
Kudus	Spurs badge	
12.8
80%	Brighton (a)	£6.6m	32.1%
Grealish	Everton badge	
12.7
90%	Liverpool (a)	£6.8m	21.7%
Munoz	Crystal Palace badge	
12.6
90%	West Ham (a)	£5.6m	13.8%
Evanilson	Bournemouth badge	
12.6
90%	Newcastle (H)	£7.0m	2.6%
Tarkowski	Everton badge	
12.6
90%	Liverpool (a)	£5.5m	7.0%
Mitoma	Brighton badge	
12.5
90%	Spurs (H)	£6.4m	4.8%
Wirtz	Liverpool badge	
12.4
80%	Everton (H)	£8.4m	18.9%
Ndiaye	Everton badge	
12.2
70%	Liverpool (a)	£6.5m	8.5%
Bowen	West Ham badge	
12.1
90%	Crystal Palace (H)	£7.8m	6.9%
N.Williams	Notts Forest badge	
12.0
90%	Burnley (a)	£5.0m	7.3%
Keane	Everton badge	
12.0
90%	Liverpool (a)	£4.5m	0.6%
Minteh	Brighton badge	
11.9
90%	Spurs (H)	£5.9m	0.8%
Saka	Arsenal badge	
11.9
60%	Man City (H)	£9.8m	4.1%
Joao Pedro	Chelsea badge	
11.8
80%	Man Utd (a)	£7.7m	66.3%
Mateta	Crystal Palace badge	
11.8
90%	West Ham (a)	£7.6m	12.1%
Eze	Arsenal badge	
11.8
80%	Man City (H)	£7.5m	12.1%
Dewsbury-Hall	Everton badge	
11.7
90%	Liverpool (a)	£5.0m	4.9%
Tielemans	Aston Villa badge	
11.7
90%	Sunderland (a)	£5.9m	1.7%
Wood	Notts Forest badge	
11.6
90%	Burnley (a)	£7.6m	22.2%
O.Dango	Brentford badge	
11.6
80%	Fulham (a)	£6.0m	0.9%
Raya	Arsenal badge	
11.6
95%	Man City (H)	£5.5m	23.5%
Konate	Liverpool badge	
11.4
90%	Everton (H)	£5.5m	3.1%
Konsa	Aston Villa badge	
11.4
90%	Sunderland (a)	£4.5m	12.9%
O'Brien	Everton badge	
11.4
90%	Liverpool (a)	£5.0m	0.5%
Gibbs-White	Notts Forest badge	
11.3
90%	Burnley (a)	£7.5m	5.3%
Andersen	Fulham badge	
11.3
90%	Brentford (H)	£4.5m	3.1%
Rice	Arsenal badge	
11.3
